"","MinAge","MaxAge","Midpoint","Duration","Ntot","Nt","Nb","Ne","No","p","q","Rcl.E","Rcl.O","I.E","I.O","lcl.Rcl.E","ucl.Rcl.E","lcl.Rcl.O","ucl.Rcl.O","lcl.I.E","ucl.I.E","lcl.I.O","ucl.I.O"
"Orellan",33.3,33.9,33.6,0.600000000000001,60,52,52,8,8,0,0,-0.017742693015399,-0.017742693015399,-0.117647058823529,-0.117647058823529,-0.017742693015399,0.0482332873149712,-0.017742693015399,0.0482332873149712,-0.253393665158371,0.374434389140271,-0.253393665158371,0.374434389140271
"Whitneyan",30.8,33.3,32.05,2.5,65,57,57,8,8,0,0,0.0118198763488942,0.0118198763488942,0.0658393141945774,0.0658393141945774,-0.0171722731861293,0.0698041754189413,-0.0171722731861293,0.0415368296222828,-0.222488038277512,0.354166666666667,-0.222488038277512,0.331489234449761
"Arikareean",20.43,30.8,25.615,10.37,297,223,45,74,252,0.19,0.036,0.00637345705643676,0.0173462499818984,0.00185908201603266,0.00760204081632652,-0.0137201066574192,0.0172059487765346,-0.0209365838002086,0.0214774910375214,-0.0432646042903891,0.0520762093772182,-0.0427551020408163,0.0524489795918367
"Hemingfordian",15.97,20.43,18.2,4.46,247,228,228,19,19,0,0,-0.00604647642143704,-0.00604647642143704,-0.0412087912087912,-0.0412087912087912,-0.0105952018027016,0.018971513175518,-0.0105952018027016,0.0166971504848857,-0.0457875457875458,0.0613553113553114,-0.0457875457875458,0.0604395604395605
"Barstovian",13.6,15.97,14.785,2.37,250,227,228,23,22,0.006,0.007,-0.00407025660425039,-0.00256660877767573,-0.019337352511074,-0.0193286245917825,-0.0113323223427023,0.0177159406111054,-0.0120632443227491,0.0183259894214857,-0.0445712218361136,0.0573143258452586,-0.0449608870661502,0.0594688267385636
"Clarendonian",10.3,13.6,11.95,3.3,255,237,237,18,18,0.005,0.005,-0.00692630765560918,-0.0046029028160361,-0.0290109384686144,-0.0288692916325048,-0.00924971249518225,0.0163077407401216,-0.00924971249518225,0.0163077407401216,-0.0443123379393552,0.0561223512041647,-0.044450443604562,0.0581054069096993
"Hemphillian",4.9,10.3,7.6,5.4,236,105,187,131,49,0.039,0.146,0.0110908415999508,0.00488016919629255,-0.00344840133507846,-0.00674968029311184,-0.0222117071349312,0.024580481593827,-0.0153832887852331,0.0212839208956228,-0.0535158205178814,0.0660858979858045,-0.0521933564307238,0.064009639153023
"Blancan",1.8,4.9,3.35,3.1,175,129,108,46,67,0.15,0.093,-0.0111230344437888,-0.0166425715197159,-0.0537993087359648,0.0373310462935865,-0.0183740813034198,0.0265824092262929,-0.0218229597963694,0.0289448453148347,-0.0724191597771565,0.0883939015444399,-0.0738791405174563,0.0963723728850302
"Irvingtonian",0.3,1.8,1.05,1.5,179,164,164,15,15,0.004,0.004,-0.00420722404919461,-0.00420722404919461,-0.055892452760144,-0.055892452760144,-0.0136955148656894,0.0195135029920424,-0.0136955148656894,0.0195135029920424,-0.0781536548242195,0.100812288859189,-0.0781536548242195,0.105085941270372
"Rancholabrean",0.011,0.3,0.1555,0.289,229,158,175,71,54,0.923,1.277,-0.0068722311349364,-0.00440458770170149,0.0531123654955457,-0.0666461853558628,-0.0154442143742385,0.0197009169069002,-0.0143514879214782,0.0188048461444442,-0.0712460964233749,0.0819589520586154,-0.0692648916197304,0.0792587472264892
"Recent",0,0.011,0.0055,0.011,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
